canonical_smiles,selfies,logBB
CCCCN1[C@@H]2CC[C@H]1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,[C][C][C][C][N][C@@H1][C][C][C@H1][Ring1][Branch1][C][C][Branch2][Ring1][O][O][C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring2][Ring1][#Branch1],0.75
CN(C)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][C][=C][Ring1][O][N][C][=C][Ring2][Ring1][Branch1],0.77
Cc1ccc(/C(=C/CN2CCCC2)c2ccccn2)cc1,[C][C][=C][C][=C][Branch2][Ring1][Branch1][/C][=Branch1][#Branch2][=C][/C][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2],0.77
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][N][Branch2][Ring1][Branch2][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][C][Ring2][Ring1][#Branch1],0.78
N[C@@H]1C[C@H]1c1ccc(F)cc1,[N][C@@H1][C][C@H1][Ring1][Ring1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],0.81
CN(C)CCCN1c2ccccc2CCC2CCCCCC21,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][S],0.83
CN(C)CCCN1c2ccccc2Cc2ccccc21,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C],0.83
CC[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,[C][C][C@H1][Branch1][C][C][C][=Branch1][C][=O][O][C@H1][C][C@H1][Branch1][C][C][C][=C][C][=C][C@H1][Branch1][C][C][C@H1][Branch1][P][C][C][C@@H1][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][Ring1][Branch2][C@H1][Ring1][P][Ring2][Ring1][=Branch1],0.85
CN(C)Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][N][N][C][=C][Ring2][Ring1][=Branch1],0.88
CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)c1cnccc1-c1ccccc1Cl,[C][N][Branch2][Ring1][=C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],0.89
CCC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,[C][C][C][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring1][=Branch2][C][C][N][C][C][N][Branch1][=N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][C][C][Ring1][=C][C][C][Ring2][Ring1][=Branch1],0.9
CCC[C@H](C)CC,[C][C][C][C@H1][Branch1][C][C][C][C],0.9
COc1ccc(-c2cc(NCCO)c3ccccc3n2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][Branch1][Branch1][N][C][C][O][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=C][C][=C][Ring2][Ring1][Ring2],0.9
COc1ccc(CCN2CCN(CCCc3ccccc3I)CC2)cc1OC,[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][C][C][N][C][C][N][Branch1][=N][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][I][C][C][Ring1][S][C][=C][Ring2][Ring1][Branch2][O][C],0.9
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)c(F)c3)ccc2c1,[O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][=C][Branch1][#C][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][C][=C][C][Ring2][Ring1][=C][=C][Ring2][Ring2][C],0.92
COc1ccc(C(C)(C)C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,[C][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][C][N][C@H1][C][C][C][N][C@H1][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],0.98
CS(=O)(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring1][=Branch2][C][C][N][C][C][N][Branch1][=N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][C][C][Ring1][=C][C][C][Ring2][Ring1][=Branch1],1.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][S],1.04
O=C(NCCCCN1CCC(Oc2cccc(C(F)(F)F)c2)CC1)c1ccc(Br)cc1,[O][=C][Branch2][Ring2][Ring2][N][C][C][C][C][N][C][C][C][Branch2][Ring1][Ring2][O][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C][C][Ring1][P][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],1.04
CN1CCC2c3cc(Cl)ccc3Oc3ccccc3C2C1,[C][N][C][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][S][C][Ring2][Ring1][Ring2],1.06
CC(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,[C][C][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring1][=Branch2][C][C][N][C][C][N][Branch1][=N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][C][C][Ring1][=C][C][C][Ring2][Ring1][=Branch1],1.08
COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@@H]1c1ccccc1,[C][O][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][C][N][C@H1][C][C][C][N][C@@H1][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.11
COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,[C][O][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][C][N][C@H1][C][C][C][N][C@H1][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.11
C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,[C][C@][N][C@H1][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S],1.11
O=C(O)C=C1C=CC(=O)O1,[O][=C][Branch1][C][O][C][=C][C][=C][C][=Branch1][C][=O][O][Ring1][=Branch1],1.11
O=C(NCCCCN1CCC(Nc2cccc(C(F)(F)F)c2)CC1)c1ccc(Br)cc1,[O][=C][Branch2][Ring2][Ring2][N][C][C][C][C][N][C][C][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C][C][Ring1][P][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],1.18
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)cc3)ccc2c1,[O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][=C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][C][Ring2][Ring1][=N][=C][Ring2][Ring1][P],1.25
COc1ccc(-c2nc(-c3cccc(CN(C)C)c3)n(C)n2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][=N][C][N][=C][Branch1][P][C][=C][C][=C][C][Branch1][#Branch1][C][N][Branch1][C][C][C][=C][Ring1][#Branch2][N][Branch1][C][C][N][=Ring1][S][C][=C][Ring2][Ring1][=Branch1],1.26
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,[O][C][Branch1][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1],1.32
CC(C)N1CCN(c2ccc(I)cc2)CC1,[C][C][Branch1][C][C][N][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1][C][C][Ring1][=N],1.38
COCn1nc(-c2ccc(OC)cc2)nc1-c1cccc(CN(C)C)c1,[C][O][C][N][N][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][N][=C][Ring1][=N][C][=C][C][=C][C][Branch1][#Branch1][C][N][Branch1][C][C][C][=C][Ring1][#Branch2],1.38
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,[O][=C][Branch2][Ring1][#Branch2][C][C][C][N][C][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring1][=C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],1.48
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,[C][N][Branch1][C][C][C][C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],1.53
CC(C)c1ccc(SCCCC2CCN2C)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch1][N][S][C][C][C][C][C][C][N][Ring1][Ring2][C][C][=C][Ring1][#C],1.7
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,[O][=C][Branch1][C][O][C][=C][C][Branch2][Ring1][=N][N][=N][C][=C][C][=C][Branch1][P][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][S][=C][C][=C][Ring2][Ring1][Branch2][O],-2.69
Oc1c(I)cc(Cl)c2cccnc12,[O][C][=C][Branch1][C][I][C][=C][Branch1][C][Cl][C][=C][C][=C][N][=C][Ring1][N][Ring1][=Branch1],-2.4
CCNC(=NCCSCc1ncccc1Br)NC#N,[C][C][N][C][=Branch1][#C][=N][C][C][S][C][C][=N][C][=C][C][=C][Ring1][=Branch1][Br][N][C][#N],-2.15
CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,[C][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][NH1][C][=Branch1][C][=O][C][=Branch1][C][=O][NH1][C][Ring1][=C][=Ring1][Branch2],-2.15
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,[O][=C][C][N][Branch1][P][/N][=C][/C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][O][Ring1][Branch2][C][=Branch1][C][=O][N][Ring1][S],-2.09
O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,[O][=C][NH1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][Branch1][C][O][=C][Ring1][N][C][=C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N],-2.03
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,[C][O][C][=C][C][Branch2][Branch1][#Branch2][C][C][=C][C][=C][Branch2][Ring2][N][C][=C][Ring1][=Branch1][C][Branch2][Ring1][#Branch1][O][C][O][C][C][O][C][Branch1][C][C][O][C][Ring1][#Branch1][C][Branch1][C][O][C][Ring1][N][O][C][C][O][C][=Branch1][C][=O][C][Ring2][Ring1][N][Ring1][=Branch1][O][C][O][Ring2][Ring1][N][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring2][#Branch1][O],-2.0
COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,[C][O][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][C][C][N][C][=N][C][=C][Branch1][=N][C][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][NH1][Ring1][#C],-2.0
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C@@H1][Ring1][#Branch2][N][C][O][C],-1.96
Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,[C][C][=C][C][=C][Branch2][Ring1][S][C][C][=C][N][=C][Branch2][Ring1][C][N][C][C][C][C][C][=N][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][NH1][C][Ring2][Ring1][Ring1][=O][C][=N][Ring2][Ring1][O],-1.9
COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,[C][O][C][Branch2][Ring1][O][N][C][=Branch1][C][=O][C][S][C][=Branch1][=C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=Branch1][C][=O][O][S][Ring1][O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Branch1][O][C][S][C][=N][N][=N][N][Ring1][Branch1][C][C][S][C][Ring1][P][Ring2][Ring2][C],-1.89
c1ccc(NC2=NCCN2)cc1,[C][=C][C][=C][Branch1][=Branch2][N][C][=N][C][C][N][Ring1][Branch1][C][=C][Ring1][N],-1.89
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[C][N][C][C][=C][Branch2][Ring1][Ring1][C][=N][O][C][Branch1][#Branch2][C][Branch1][C][C][Branch1][C][O][C][O][=N][Ring1][#Branch2][N][=C][N][Ring1][#C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Ring2][Ring1][=Branch2][=O],-1.82
CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,[C][C][Branch1][C][C][C][=N][C][Branch2][Branch1][#C][C][N][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][=C][N][=C][S][Ring1][Branch1][=C][S][Ring2][Ring2][=N],-1.82
CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[C][N][C][C][=C][Branch2][Ring1][Ring2][C][=N][O][C][Branch1][O][C][Branch1][C][C][Branch1][Ring1][C][O][C][O][=N][Ring1][O][N][=C][N][Ring1][S][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Ring2][Ring1][#Branch2][=O],-1.82
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,[O][=C][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][S][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][P][Ring1][#Branch1],-1.81
CCOC(=O)N1CSCC1C(=O)O,[C][C][O][C][=Branch1][C][=O][N][C][S][C][C][Ring1][Branch1][C][=Branch1][C][=O][O],-1.72
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,[O][=C][Branch1][C][O][C][C][C][C][=C][C][=C][Branch1][#Branch2][N][Branch1][Ring2][C][C][Cl][C][C][Cl][C][=C][Ring1][=N],-1.7
O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O,[O][=C][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][Ring2][Ring1][Ring2][O],-1.7
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,[C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][=C][Ring1][=N],-1.68
OCC(O)C(O)C(O)C(O)CO,[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O],-1.6
CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][S][C][=C][S][C][Branch1][#Branch1][N][=C][Branch1][C][N][N][=N][Ring1][=Branch2][=C][Ring1][#C],-1.57
CC(C)CC(=O)c1ccc(OCCCCO)cc1O,[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch1][O][C][C][C][C][O][C][=C][Ring1][N][O],-1.52
CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][O][C][C][C][C][O][C][=C][C][=C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][Ring1][N][C][=C][Ring2][Ring1][Branch2][O],-1.52
CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch2][O][C][C][C][C][O][C][=C][C][=C][C][=C][C][=Branch1][C][=O][O][C][Ring1][#Branch1][=C][Ring1][O][C][=C][Ring2][Ring1][#Branch1][O],-1.52
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,[C][N][Branch2][Ring1][=Branch1][C][C][=C][N][=C][N][=C][Branch1][C][N][N][=C][Branch1][C][N][C][Ring1][Branch2][=N][Ring1][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C],-1.52
NCC(CC(=O)O)c1ccc(Cl)cc1,[N][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],-1.52
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[C][N][Branch2][Ring1][=Branch1][C][C][=C][N][=C][N][=C][Branch1][C][N][N][=C][Branch1][C][N][C][Ring1][Branch2][=N][Ring1][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C],-1.5
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,[C][C][=C][C][=C][Branch2][Ring1][N][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][C][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring1][=C][C][=C][Ring2][Ring1][#Branch1][N][C][=N][C][=C][C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][=N][Ring1][N],-1.5
Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1,[N][C][C][=C][N][Branch1][N][C@@H1][C][C][C@@H1][Branch1][Ring1][C][O][O][Ring1][#Branch1][C][=Branch1][C][=O][N][=Ring1][=C],-1.5
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,[C][C][=N][N][=C][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Ring2][Ring1][C][O],-1.48
CC(C)NC(O)COc1ccc(CC(N)=O)cc1,[C][C][Branch1][C][C][N][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][Ring1][#Branch2],-1.42
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,[C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C][=Branch2][Ring2][Ring2][=C][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][C][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2][C][C][C][Ring1][=C][Ring2][Ring1][Ring2][C][C][Ring2][Ring1][#Branch2][C][Ring2][Ring1][P],-1.4
CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,[C][C][C][N][C][=Branch1][C][=O][C][NH1][C][Branch1][O][C][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][=N][C][=Ring1][O][N][Branch1][Ring2][C][C][C][C][Ring2][Ring1][Ring1][=O],-1.4
CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O,[C][C][C][N][C][=Branch1][C][=O][C][NH1][C][Branch1][O][C@H1][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][=N][C][=Ring1][O][N][Branch1][Ring2][C][C][C][C][Ring2][Ring1][Ring1][=O],-1.4
COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1,[C][O][C][=Branch1][C][=O][N][C][=N][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][N][C][=C][Ring2][Ring1][Ring2][NH1][Ring2][Ring1][#Branch1],-1.4
COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,[C][O][C][=N][C][=C][C][Branch2][Ring1][S][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][=C][N][Ring1][N][C][C][C][C][Branch1][C][O][C][C][Ring1][#Branch1][=N][Ring2][Ring1][=Branch2],-1.4
CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,[C][C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][=Branch1][Ring1][=Branch1],-1.39
Cc1ccccc1NC1=NCCN1,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N][C][C][N][Ring1][Branch1],-1.39
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,[C][C][Branch1][C][C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][Ring2][Ring1][O][C][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O],-1.36
CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,[C][N][C@H1][C][C][C@H1][Ring1][Branch1][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C@@H1][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring2],-1.35
CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,[C][N][C][C][=C][Branch2][Ring1][C][C][=N][O][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][O][=N][Ring1][=Branch2][N][=C][N][Ring1][=C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=O],-1.34
C[NH+](C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,[C][NH1+1][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C][S][C][C][N][C][=N][C][=Branch1][C][=O][C][Branch1][S][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][=C][NH1][Ring2][Ring1][C][O][Ring2][Ring1][N],-1.3
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,[C][O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][S][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=Ring1][#Branch2][C][C][=C][Ring2][Ring1][Branch1][N][C][C][N][C][C][Ring1][=Branch1],-1.3
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=C][Branch1][C][C][N][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],-1.3
COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1,[C][O][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][C][C][N][C][=N][C][=C][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][C][=N][Ring1][#Branch1][C][=Branch1][C][=O][NH1][Ring1][#C],-1.3
